0,6
0,7
0,9
0,13
0,16
0,17
0,18
0,19
0,20
0,23
0,27
1,2
1,7
1,12
1,13
1,20
1,21
1,22
1,26
1,27
1,28
1,29
2,4
2,7
2,8
2,11
2,18
2,19
2,24
2,26
3,5
3,6
3,9
3,13
3,14
3,17
3,19
3,20
3,23
3,29
4,5
4,11
4,17
4,22
4,23
4,26
5,7
5,8
5,9
5,10
5,15
5,17
5,20
5,23
5,24
5,25
5,27
5,28
6,14
6,15
6,18
6,20
6,28
6,29
7,10
7,17
7,19
7,22
8,12
8,19
8,23
8,24
9,10
9,15
9,20
9,21
9,22
9,24
9,27
10,13
10,14
10,15
10,16
10,17
10,18
10,20
10,22
10,25
10,29
11,15
11,16
11,18
11,23
11,25
11,26
11,28
12,22
12,23
13,17
13,18
13,19
13,21
13,24
13,25
13,29
14,21
14,22
14,24
15,18
15,23
15,27
16,21
16,22
16,25
17,18
17,21
17,23
17,24
17,26
18,29
19,21
19,23
19,29
20,27
20,29
21,27
21,28
21,29
22,27
23,25
23,26
23,29
24,28
27,28
27,29
